datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,iteraties,total_ticks,score_it_per_s,crcfinal,gevalideerd,score_regel,logbestand,log_sha256
2026-08-15T04:59:51,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,1,ja,,A,20000,34202575,584.751294,0x382f,ja,CoreMark 1.0 : 584.751294 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_050102.txt,c0ff192e35b7343a6ddd55da04fe0e9b7d3e90fa3eff761968b039df06c1a651
2026-08-15T04:59:51,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,1,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_050102.txt,c0ff192e35b7343a6ddd55da04fe0e9b7d3e90fa3eff761968b039df06c1a651
2026-08-15T05:01:02,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,2,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_050214.txt,9ad8c21cfe8e75f89a54edcd4f2b0f81c026e8b0b6ccd0a0732842b483d70828
2026-08-15T05:01:02,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,2,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_050214.txt,9ad8c21cfe8e75f89a54edcd4f2b0f81c026e8b0b6ccd0a0732842b483d70828
2026-08-15T05:02:14,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,3,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_050325.txt,fd3fc0c6990111c802b000c708457e93d7b9e06cc2ee88db9b7654ed126556d0
2026-08-15T05:02:14,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,3,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_050325.txt,fd3fc0c6990111c802b000c708457e93d7b9e06cc2ee88db9b7654ed126556d0
2026-08-15T05:03:25,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,4,ja,,A,20000,34202583,584.751158,0x382f,ja,CoreMark 1.0 : 584.751158 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_050437.txt,3e817392d49bc85a7d2cdee9a4fd32f12b1771971029520612002b002e4e7559
2026-08-15T05:03:25,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,4,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_050437.txt,3e817392d49bc85a7d2cdee9a4fd32f12b1771971029520612002b002e4e7559
